City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Gizo,SB,81.59,scattered clouds,-8.103,156.8419,Imagination Island
3,Sakakah,SA,91.54,few clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
5,Rikitea,PF,73.65,moderate rain,-23.1203,-134.9692,People ThankYou
6,Puerto Carreno,CO,80.69,broken clouds,6.189,-67.4859,Casa Hotel Victoria
7,Termiz,UZ,82.49,clear sky,37.2242,67.2783,Hotel Sharq
8,Yellowknife,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
9,Vaini,TO,75.4,scattered clouds,-21.2,-175.2,Keleti Beach Resort
12,Mataura,PF,73.65,moderate rain,-23.1203,-134.9692,People ThankYou
14,Botwood,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
15,Hamilton,US,74.17,moderate rain,39.1834,-84.5333,Six Acres Bed & Breakfast
16,Mandalgovi,MN,65.07,few clouds,45.7625,106.2708,В.Ганбат
17,East London,ZA,69.03,clear sky,-33.0153,27.9116,Tu Casa
18,Machiques,VE,89.71,overcast clouds,10.0644,-72.545,hotel el markes
21,Abu Zabad,SD,77.81,overcast clouds,12.35,29.25,حامد محمد نور
22,Dalbandin,PK,87.76,few clouds,28.8947,64.4101,Sanjrani House
25,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
26,Avarua,CK,71.65,drizzle,-21.2078,-159.775,Paradise Inn
30,Mayo,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
33,Cabo San Lucas,MX,95.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
34,Takoradi,GH,74.95,broken clouds,4.8845,-1.7554,Raybow International Hotel
35,Bandar-E Anzali,IR,79.88,clear sky,37.4727,49.4622,هتل بیاچ
36,Butaritari,KI,81.81,light rain,3.0707,172.7902,Isles Sunset Lodge
38,Leavenworth,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
41,Hermanus,ZA,69.03,clear sky,-33.0153,27.9116,Tu Casa
44,Port Alfred,ZA,69.03,clear sky,-33.0153,27.9116,Tu Casa
45,Torbay,CA,66.72,overcast clouds,62.456,-114.3525,The Explorer Hotel
46,Arraial Do Cabo,BR,72.95,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
48,Hilo,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
49,Kerouane,GN,70.61,moderate rain,9.2667,-9.0167,Hotel Seka Seka
53,Atuona,PF,73.65,moderate rain,-23.1203,-134.9692,People ThankYou
54,Jamestown,US,72.01,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
58,Pacific Grove,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
59,Kaberamaido,UG,71.15,broken clouds,1.7389,33.1594,"Little Orchard, Kaberamaido"
60,Bredasdorp,ZA,69.03,clear sky,-33.0153,27.9116,Tu Casa
61,Kenai,US,89.51,scattered clouds,39.2333,-95.0336,Suncatcher Lake RV Park
62,Axim,GH,74.95,broken clouds,4.8845,-1.7554,Raybow International Hotel
66,Sinjai,ID,74.01,overcast clouds,-5.1241,120.253,Wisma Sandika
68,Kruisfontein,ZA,69.03,clear sky,-33.0153,27.9116,Tu Casa
69,Constitucion,MX,95.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
70,Katsuura,JP,78.06,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
71,Aden,YE,84.56,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
