City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Adrar,MR,20.5022,-10.0711,101.73,9,60,9.28,broken clouds
1,Kaitangata,NZ,-46.2817,169.8464,46.04,85,84,5.68,broken clouds
2,Gizo,SB,-8.103,156.8419,81.59,77,40,6.22,scattered clouds
3,Sakakah,SA,29.9697,40.2064,91.54,16,22,3.98,few clouds
4,Parfenyevo,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,73.65,81,86,14.65,moderate rain
6,Puerto Carreno,CO,6.189,-67.4859,80.69,84,73,5.3,broken clouds
7,Termiz,UZ,37.2242,67.2783,82.49,28,0,2.3,clear sky
8,Yellowknife,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
9,Vaini,TO,-21.2,-175.2,75.4,73,47,20.96,scattered clouds
10,Nanortalik,GL,60.1432,-45.2371,43.3,86,99,13.22,overcast clouds
11,Kysyl-Syr,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
12,Mataura,PF,-23.1203,-134.9692,73.65,81,86,14.65,moderate rain
13,Punta Arenas,CL,-53.15,-70.9167,35.71,87,0,27.63,clear sky
14,Botwood,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
15,Hamilton,US,39.1834,-84.5333,74.17,93,100,13.8,moderate rain
16,Mandalgovi,MN,45.7625,106.2708,65.07,38,16,9.82,few clouds
17,East London,ZA,-33.0153,27.9116,69.03,31,0,8.43,clear sky
18,Machiques,VE,10.0644,-72.545,89.71,58,98,7.85,overcast clouds
19,Qaanaaq,GL,60.1432,-45.2371,43.3,86,99,13.22,overcast clouds
20,Busselton,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
21,Abu Zabad,SD,12.35,29.25,77.81,75,92,7.81,overcast clouds
22,Dalbandin,PK,28.8947,64.4101,87.76,44,13,7.14,few clouds
23,Ancud,CL,-53.15,-70.9167,35.71,87,0,27.63,clear sky
24,Vysokogornyy,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
25,Puerto Ayora,EC,-0.7393,-90.3518,69.55,93,68,5.99,broken clouds
26,Avarua,CK,-21.2078,-159.775,71.65,83,75,9.22,drizzle
27,Severo-Kurilsk,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
28,Nikolskoye,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
29,Nguiu,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
30,Mayo,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
31,Mys Shmidta,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
32,Coihaique,CL,-53.15,-70.9167,35.71,87,0,27.63,clear sky
33,Cabo San Lucas,MX,22.8909,-109.9124,95.61,57,11,6.62,few clouds
34,Takoradi,GH,4.8845,-1.7554,74.95,80,57,8.66,broken clouds
35,Bandar-E Anzali,IR,37.4727,49.4622,79.88,64,0,1.92,clear sky
36,Butaritari,KI,3.0707,172.7902,81.81,74,90,10.69,light rain
37,Albany,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
38,Leavenworth,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
39,Castro,CL,-53.15,-70.9167,35.71,87,0,27.63,clear sky
40,Codrington,AU,-38.2667,141.9667,48.02,71,100,16.24,overcast clouds
41,Hermanus,ZA,-33.0153,27.9116,69.03,31,0,8.43,clear sky
42,Flinders,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
43,Provideniya,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
44,Port Alfred,ZA,-33.0153,27.9116,69.03,31,0,8.43,clear sky
45,Torbay,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
46,Arraial Do Cabo,BR,-22.9661,-42.0278,72.95,82,56,19.73,broken clouds
47,Ilulissat,GL,60.1432,-45.2371,43.3,86,99,13.22,overcast clouds
48,Hilo,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
49,Kerouane,GN,9.2667,-9.0167,70.61,96,94,2.37,moderate rain
50,Urengoy,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
51,Ushuaia,AR,-54.8,-68.3,38.86,52,20,5.75,few clouds
52,Hobart,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
53,Atuona,PF,-23.1203,-134.9692,73.65,81,86,14.65,moderate rain
54,Jamestown,US,42.097,-79.2353,72.01,85,100,3.44,overcast clouds
55,Tasiilaq,GL,60.1432,-45.2371,43.3,86,99,13.22,overcast clouds
56,New Norfolk,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
57,Bluff,NZ,-46.2817,169.8464,46.04,85,84,5.68,broken clouds
58,Pacific Grove,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
59,Kaberamaido,UG,1.7389,33.1594,71.15,67,72,3.74,broken clouds
60,Bredasdorp,ZA,-33.0153,27.9116,69.03,31,0,8.43,clear sky
61,Kenai,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
62,Axim,GH,4.8845,-1.7554,74.95,80,57,8.66,broken clouds
63,Povenets,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
64,Ovsyanka,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
65,Pevek,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
66,Sinjai,ID,-5.1241,120.253,74.01,90,100,2.73,overcast clouds
67,Port Lincoln,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
68,Kruisfontein,ZA,-33.0153,27.9116,69.03,31,0,8.43,clear sky
69,Constitucion,MX,22.8909,-109.9124,95.61,57,11,6.62,few clouds
70,Katsuura,JP,35.1333,140.3,78.06,90,100,12.39,overcast clouds
71,Aden,YE,12.7794,45.0367,84.56,72,47,8.79,scattered clouds
72,Tiksi,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
73,Victoria,HK,22.2855,114.1577,86.38,83,100,11.99,overcast clouds
74,Georgetown,US,42.097,-79.2353,72.01,85,100,3.44,overcast clouds
75,Itarema,BR,-22.9661,-42.0278,72.95,82,56,19.73,broken clouds
76,Burns Lake,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
77,Opoczno,PL,51.3757,20.2783,55.9,58,39,5.99,scattered clouds
78,Zemio,CF,5.0314,25.1361,71.11,96,93,2.1,light rain
79,Saskylakh,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
80,Saint George,US,39.1834,-84.5333,74.17,93,100,13.8,moderate rain
81,Bardiyah,LY,31.7561,25.0865,78.85,65,0,11.03,clear sky
82,Mount Isa,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
83,Flin Flon,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
84,La Ronge,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
85,Dikson,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
86,Amapa,BR,-22.9661,-42.0278,72.95,82,56,19.73,broken clouds
87,Sept-Iles,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
88,Krivosheino,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
89,Karauzyak,UZ,37.2242,67.2783,82.49,28,0,2.3,clear sky
90,Sitka,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
91,Camacha,PT,33.0833,-16.3333,67.42,78,20,16.11,few clouds
92,Cape Town,ZA,-33.0153,27.9116,69.03,31,0,8.43,clear sky
93,Chikitigarh,IN,19.2,84.6167,77.59,90,60,4.47,broken clouds
94,Saint-Pierre,RE,-21.3393,55.4781,69.91,68,0,20.71,clear sky
95,Belushya Guba,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
96,Saint-Philippe,RE,-21.3585,55.7679,69.39,75,68,15.08,broken clouds
97,Qaqortoq,GL,60.1432,-45.2371,43.3,86,99,13.22,overcast clouds
98,Faanui,PF,-23.1203,-134.9692,73.65,81,86,14.65,moderate rain
99,Rawson,AR,-54.8,-68.3,38.86,52,20,5.75,few clouds
100,Buraydah,SA,29.9697,40.2064,91.54,16,22,3.98,few clouds
101,Chokurdakh,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
102,Sentyabrskiy,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
103,Tuktoyaktuk,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
104,Luderitz,NA,-26.6481,15.1594,63.55,54,1,7.09,clear sky
105,Havre-Saint-Pierre,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
106,Coahuayana,MX,22.8909,-109.9124,95.61,57,11,6.62,few clouds
107,Kapaa,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
108,Nome,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
109,Gazojak,TM,41.1875,61.4036,90.84,13,0,12.88,clear sky
110,Victor Harbor,AU,-33.65,115.3333,53.83,91,99,14.2,overcast clouds
111,Jalu,LY,31.7561,25.0865,78.85,65,0,11.03,clear sky
112,Luganville,VU,-15.5333,167.1667,78.69,86,61,12.95,broken clouds
113,La Sarre,CA,62.456,-114.3525,66.72,72,100,18.41,overcast clouds
114,Ust-Ilimsk,RU,58.484,43.4088,58.48,80,99,2.28,overcast clouds
115,Larsnes,NO,62.2028,5.5773,59.41,82,74,14.12,broken clouds
116,Tabiauea,KI,3.0707,172.7902,81.81,74,90,10.69,light rain
117,Lekoni,GA,-1.5843,14.2591,82.4,47,100,7.87,light rain
118,Barrow,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
119,Skibbereen,IE,51.55,-9.2667,67.1,90,37,2.28,scattered clouds
120,Rexburg,US,39.2333,-95.0336,89.51,70,35,1.99,scattered clouds
121,Mehamn,NO,62.2028,5.5773,59.41,82,74,14.12,broken clouds
122,Paamiut,GL,60.1432,-45.2371,43.3,86,99,13.22,overcast clouds
123,Barentu,ER,15.1139,37.5928,78.48,60,92,5.82,overcast clouds
124,San Juan,AR,-54.8,-68.3,38.86,52,20,5.75,few clouds
125,Caravelas,BR,-22.9661,-42.0278,72.95,82,56,19.73,broken clouds
