City_ID,City,Country,Date,Lat,Lng,Temp,Min Temp,Max Temp,Current Description,Current Details,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2022-07-15 04:25:07,-54.8,-68.3,26.26,26.26,26.26,Clear,clear sky,86,0,2.3
1,Punta Arenas,CL,2022-07-15 04:25:08,-53.15,-70.9167,26.71,26.71,26.71,Fog,fog,100,40,5.75
2,Kodiak,US,2022-07-15 04:20:32,57.79,-152.4072,62.11,62.11,62.11,Clouds,overcast clouds,77,100,0.0
3,Dikson,RU,2022-07-15 04:25:08,73.5069,80.5464,43.52,43.52,43.52,Clouds,scattered clouds,76,26,11.97
4,Mataura,NZ,2022-07-15 04:25:09,-46.1927,168.8643,45.48,45.48,45.48,Clouds,overcast clouds,97,100,4.23
5,Leningradskiy,RU,2022-07-15 04:25:09,69.3833,178.4167,36.54,36.54,36.54,Clouds,scattered clouds,76,47,7.58
6,Puerto Ayora,EC,2022-07-15 04:24:28,-0.7393,-90.3518,68.56,68.56,68.56,Clouds,broken clouds,96,57,7.0
7,Abu Kamal,SY,2022-07-15 04:25:10,34.4506,40.9171,85.17,85.17,85.17,Clear,clear sky,31,0,16.69
8,Marsh Harbour,BS,2022-07-15 04:22:35,26.5412,-77.0636,82.44,82.44,82.44,Clouds,scattered clouds,73,33,16.02
9,Busselton,AU,2022-07-15 04:25:10,-33.65,115.3333,63.18,63.18,63.18,Clouds,broken clouds,66,53,12.12
10,Byron Bay,AU,2022-07-15 04:21:00,-28.65,153.6167,63.95,61.72,63.95,Clouds,broken clouds,66,81,13.56
11,East London,ZA,2022-07-15 04:25:11,-33.0153,27.9116,54.54,54.54,54.54,Clear,clear sky,71,0,8.05
12,Port Elizabeth,ZA,2022-07-15 04:25:11,-33.918,25.5701,50.29,50.29,50.29,Clear,clear sky,81,0,6.91
13,Sao Filipe,CV,2022-07-15 04:25:12,14.8961,-24.4956,74.1,74.1,74.1,Clouds,scattered clouds,78,37,7.56
14,Sitka,US,2022-07-15 04:25:12,57.0531,-135.33,62.49,62.49,62.49,Clouds,overcast clouds,59,100,10.36
15,Oktyabrskiy,RU,2022-07-15 04:25:13,54.4815,53.471,66.31,66.31,66.31,Rain,light rain,93,100,5.26
16,Jamestown,US,2022-07-15 04:20:45,42.097,-79.2353,60.57,51.53,62.24,Clear,clear sky,82,0,3.44
17,Chitral,PK,2022-07-15 04:25:13,35.8462,71.7858,77.61,77.61,77.61,Clouds,broken clouds,51,60,4.07
18,Vardo,NO,2022-07-15 04:25:14,70.3705,31.1107,55.38,55.38,55.38,Fog,fog,94,100,10.36
19,Rikitea,PF,2022-07-15 04:25:14,-23.1203,-134.9692,66.9,66.9,66.9,Clouds,overcast clouds,79,100,14.36
20,Sambava,MG,2022-07-15 04:25:15,-14.2667,50.1667,67.24,67.24,67.24,Clear,clear sky,81,6,9.08
21,Ribeira Grande,PT,2022-07-15 04:25:15,38.5167,-28.7,69.71,69.71,69.71,Clouds,few clouds,89,16,11.25
22,Atuona,PF,2022-07-15 04:25:16,-9.8,-139.0333,77.68,77.68,77.68,Clear,clear sky,68,9,15.95
23,Hobart,AU,2022-07-15 04:25:16,-42.8794,147.3294,51.22,51.06,52.27,Clouds,broken clouds,88,75,6.91
24,Zyryanka,RU,2022-07-15 04:25:17,65.75,150.85,75.9,75.9,75.9,Clouds,broken clouds,48,66,0.56
25,Taoudenni,ML,2022-07-15 04:25:17,22.6783,-3.9836,94.26,94.26,94.26,Clear,clear sky,11,4,13.96
26,Torbay,CA,2022-07-15 04:25:18,47.6666,-52.7314,56.71,55.27,59.29,Clouds,overcast clouds,91,100,8.05
27,Thompson,CA,2022-07-15 04:25:19,55.7435,-97.8558,62.76,62.76,62.76,Smoke,smoke,63,100,0.0
28,Tasiilaq,GL,2022-07-15 04:25:19,65.6145,-37.6368,46.56,46.56,46.56,Clouds,overcast clouds,78,100,12.24
29,Nome,US,2022-07-15 04:25:20,64.5011,-165.4064,57.29,57.27,66.16,Clouds,few clouds,76,20,10.36
